,Date,Dollars per Million Btu
474,1998 10 30 Fri,2.0
475,1998 11 02 Mon,1.84
476,1998 11 03 Tue,2.1
477,1998 11 04 Wed,2.11
478,1998 11 05 Thu,2.26
479,1998 11 06 Fri,2.25
480,1998 11 09 Mon,2.28
481,1998 11 10 Tue,2.3
482,1998 11 11 Wed,2.33
483,1998 11 12 Thu,2.21
484,1998 11 13 Fri,2.21
485,1998 11 16 Mon,2.19
486,1998 11 17 Tue,2.12
487,1998 11 18 Wed,2.1
488,1998 11 19 Thu,2.1
489,1998 11 20 Fri,2.07
490,1998 11 23 Mon,2.02
491,1998 11 24 Tue,2.08
492,1998 11 25 Wed,2.13
493,1998 11 26 Thu,
494,1998 11 27 Fri,
495,1998 11 30 Mon,1.63
496,1998 12 01 Tue,1.41
497,1998 12 02 Wed,1.4
498,1998 12 03 Thu,1.21
499,1998 12 04 Fri,1.05
500,1998 12 07 Mon,1.44
501,1998 12 08 Tue,1.79
502,1998 12 09 Wed,1.64
503,1998 12 10 Thu,1.59
504,1998 12 11 Fri,1.55
505,1998 12 14 Mon,1.8
506,1998 12 15 Tue,1.86
507,1998 12 16 Wed,1.95
508,1998 12 17 Thu,2.02
509,1998 12 18 Fri,2.02
510,1998 12 21 Mon,2.05
511,1998 12 22 Tue,1.96
512,1998 12 23 Wed,1.88
513,1998 12 24 Thu,1.89
514,1998 12 25 Fri,
515,1998 12 28 Mon,1.79
516,1998 12 29 Tue,1.82
517,1998 12 30 Wed,1.81
518,1998 12 31 Thu,1.95
519,1999 01 01 Fri,
520,1999 01 04 Mon,2.1
521,1999 01 05 Tue,2.05
522,1999 01 06 Wed,2.04
523,1999 01 07 Thu,1.91
524,1999 01 08 Fri,1.9
525,1999 01 11 Mon,1.83
526,1999 01 12 Tue,1.82
527,1999 01 13 Wed,1.87
528,1999 01 14 Thu,1.77
529,1999 01 15 Fri,1.78
530,1999 01 18 Mon,
531,1999 01 19 Tue,1.77
532,1999 01 20 Wed,1.81
533,1999 01 21 Thu,1.85
534,1999 01 22 Fri,1.82
535,1999 01 25 Mon,1.76
536,1999 01 26 Tue,1.73
537,1999 01 27 Wed,1.75
538,1999 01 28 Thu,1.75
539,1999 01 29 Fri,1.83
540,1999 02 01 Mon,1.75
541,1999 02 02 Tue,1.78
542,1999 02 03 Wed,1.8
543,1999 02 04 Thu,1.79
544,1999 02 05 Fri,1.81
545,1999 02 08 Mon,1.81
546,1999 02 09 Tue,1.82
547,1999 02 10 Wed,1.8
548,1999 02 11 Thu,1.78
549,1999 02 12 Fri,1.82
550,1999 02 15 Mon,
551,1999 02 16 Tue,1.79
552,1999 02 17 Wed,1.79
553,1999 02 18 Thu,1.8
554,1999 02 19 Fri,1.79
555,1999 02 22 Mon,1.77
556,1999 02 23 Tue,1.75
557,1999 02 24 Wed,1.73
558,1999 02 25 Thu,1.64
559,1999 02 26 Fri,1.63
560,1999 03 01 Mon,1.65
561,1999 03 02 Tue,1.67
562,1999 03 03 Wed,1.68
563,1999 03 04 Thu,1.72
564,1999 03 05 Fri,1.74
565,1999 03 08 Mon,1.87
566,1999 03 09 Tue,1.86
567,1999 03 10 Wed,1.94
568,1999 03 11 Thu,1.87
569,1999 03 12 Fri,1.81
570,1999 03 15 Mon,1.75
571,1999 03 16 Tue,1.75
572,1999 03 17 Wed,1.75
573,1999 03 18 Thu,1.75
574,1999 03 19 Fri,1.73
575,1999 03 22 Mon,1.74
576,1999 03 23 Tue,1.8
577,1999 03 24 Wed,1.79
578,1999 03 25 Thu,1.8
579,1999 03 26 Fri,1.83
580,1999 03 29 Mon,1.8
581,1999 03 30 Tue,1.89
582,1999 03 31 Wed,2.02
583,1999 04 01 Thu,1.95
584,1999 04 02 Fri,
585,1999 04 05 Mon,2.03
586,1999 04 06 Tue,1.98
587,1999 04 07 Wed,2.03
588,1999 04 08 Thu,2.07
589,1999 04 09 Fri,2.1
